Company,Location,City,Employee Level,Aboriginal,African Caribbean / African American,African Caribbean/Canadian,American Indian or Alaskan Native,American Indian or Pacific Islander,Asian,Asian / Asian American,Asian Lineage,Asian American,Asian-Pacific Islander,BAME,BIPOC,Black,Black + Non-Black POC,Black and Brown,Black and Latina,Black or African-American,British Indian,Diverse Group,Ethnically/Racially diverse,Hispanic,Hispanic or Latinx / Hispanic Latino,Hispanic or Latinx or Asian or Other,Latin American,Latina,Latinx,Maori,Middle Eastern,Mixed Race / Mixed Ethnicity,Mixed Race Asian,Multiracial / Multiple Ethnic Background,Native Hawaiian or Pacific Islander,Non-Black POC,Non-White,Other,Persian,POC / POC Non-White,Prefer Not To Say / Undisclosed / Not Specified,South Asian,SouthEast Asian,Two or more races,Unknown,White,White/Caucasian,% Check,Number Reported Employee,Reporting %,Male,Female,Non-Binary,Gender-Fluid,Prefer Not To Say / Unspecified,Check,LGBTQ+
IPSY,,,Leadership,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,41.5,,,,,,,,0,,,,60,,,,60,
Jouer,,,HQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,40,,40,20,,15,85,,,,100,
Kate Somerville,,,Corporate,,,,,,,,,,,,,11,,,,,,,,,11,,,,,,,,,,,,,,,54,,,,,,,46,46,,,29,71,,,,100,
Kora Organics,,,Corporate,,,,,,18,,,,,,,12,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,58,,58,,,,83,,,,83,
Kora Organics,,,Leadership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,0,4,,,,,,,0,
Kosas,,,All,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,46,,46,,,,94,,,,94,
Kosas,,,HQ,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,57,,57,,,,85,,,,85,
Kylie Cosmetics,,,All,,,,,,,,,,,,47,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,53,,,,100,,,,100,
L'Oreal USA,USA,,All,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,0,1200,,,,,,,0,
L'Oreal USA,USA,,Executive,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,0,,,,,,,,0,
L'Oreal USA,USA,,HQ,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,0,,,,,,,,0,
Levis,USA,,All,,,,1,,10,,,,,,,,,,,18,,,,,28,,,,,,,,,,1,,,,,,,,,3,,37,,37,,,,57,,,,57,
Levis,USA,,Corporate,,,,,,27,,,,,,,,,,,5,,,,,10,,,,,,,,,,,,,,,,,,,3,,55,,55,,,,,,,,0,
Lime Crime,,,HQ,,,,,,,,,,,,,0,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,79,,,,79,
Lush,Australian and New Zealand,,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,2,100,50,50,,,,100,
Lush,USA,,Executive,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Lush,Australian and New Zealand,,Leadership,8,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,8,,,,,,,,,,,,,77,,77,13,100,23,77,,,,100,
Lush,Australian and New Zealand,,Leadership / HQ Staff,2,,,,,30,,,,,,,,,,,,,,,2,,,,,,2,,,2,,,,,,,,,,,,,56,,56,57,75,23,73,3,,2,101,
M.A.C,,,Director and Above,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,0,,,,,,,,0,
M.A.C,,,Employees,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,0,,,,86,,,,86,
M.A.C,,,Executive,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Makeup Addiction,,,All,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Man Repeller,,,Leadership,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,0,,,,,,,,0,
Man Repeller,,,Staff,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,7,,,,,7,,,,,,,72,,72,14,,14,86,,,,100,
Markwins,,,All,,,,,,,,,,27.5,,,,,,,12.5,,,,,,,27.5,,,,9,11,,,,,,,,,,,,,,12.5,,12.5,47,,,,,,,0,
Markwins,,,Executives,,,,,,,,,,75,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,,,,0,
Mented Cosmetics,,,Board,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Mented Cosmetics,,,Executive,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Mented Cosmetics,,,Owner,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Milani,,,HQ,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,41,41,63,,,76,,,,76,
Milk Bar,,,VP Level and Higher,,,,,,,,,,,,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,75,,,,75,
Milk Bar,,,,,,,,,16,,,,,,59,17,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,39,,39,,,,60,,,,60,
Milk Makeup,,,All,,9,,,,,9,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,68,,68,,,22,78,,,,100,
Milk Makeup,,,Executive,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Miss A,,,All,,,,,,,,34.2,,,,,14.7,,,,,,,,,32.6,,,,,,,,,,,,,3.3,,,,,,,,15.2,,15.2,,,,,,,,0,
Morphe,,,HQ,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,51,,,,,6,,,,,40,,40,,,,75,,,,75,
Murad,USA,,All,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,0,,,,66,,,,66,
